               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096671,            0.019842,            0.051284,           0.0029158,                0.83,            0.010668,           0.0032819,            0.026142,           0.0055703,             0.01584,              0.0784,              0.0024,              0.0024
                   1,            0.070374,            0.026617,            0.049105,             0.11771,                0.22,              0.1247,            0.069494,            0.014606,           0.0054889,            0.015877,            0.055657,           0.0046574,           0.0046574
                   2,            0.057279,            0.025091,            0.048698,             0.13383,                0.43,             0.21252,             0.18759,            0.021078,           0.0071492,            0.015474,            0.032667,           0.0066674,           0.0066674
                   3,            0.050819,            0.021944,            0.047119,             0.20759,             0.66192,             0.30229,             0.26007,            0.010054,            0.004038,            0.015331,           0.0094298,           0.0084298,           0.0084298
                   4,            0.047047,            0.020769,            0.046296,             0.21517,                0.89,             0.37847,              0.3463,            0.014511,           0.0045387,            0.015184,             0.00802,             0.00802,             0.00802
                   5,            0.041939,            0.018632,            0.045935,             0.24725,                0.84,             0.42473,             0.32076,            0.011071,           0.0048571,            0.014922,             0.00802,             0.00802,             0.00802
                   6,            0.038002,            0.017167,            0.045358,             0.16282,             0.90288,             0.43622,             0.37055,            0.010202,           0.0039604,            0.014949,            0.007525,            0.007525,            0.007525
                   7,            0.034276,            0.015344,            0.044302,             0.25391,                0.81,             0.45457,              0.4364,           0.0056402,           0.0033517,            0.014008,             0.00703,             0.00703,             0.00703
                   8,            0.031597,            0.014912,            0.043491,             0.48776,                 0.8,             0.65037,             0.59652,           0.0069635,           0.0024648,            0.012854,            0.006535,            0.006535,            0.006535
                   9,             0.02814,            0.014405,            0.041779,             0.48334,             0.70355,             0.65512,             0.62373,           0.0084014,           0.0025526,            0.012084,             0.00604,             0.00604,             0.00604
                  10,            0.025762,            0.013006,            0.040205,             0.47261,                0.82,             0.65837,             0.53894,           0.0099742,           0.0028044,            0.011737,            0.005545,            0.005545,            0.005545
                  11,            0.024555,            0.012956,            0.040143,             0.56034,             0.91913,             0.72795,             0.63695,           0.0087062,           0.0025972,            0.011081,             0.00505,             0.00505,             0.00505
                  12,            0.021963,            0.011704,            0.037667,             0.60384,             0.94942,             0.73112,             0.65137,           0.0071803,           0.0025255,            0.010173,            0.004555,            0.004555,            0.004555
                  13,            0.020927,            0.011525,            0.036897,             0.58743,             0.92261,             0.76718,             0.67608,           0.0054291,            0.002608,           0.0095282,             0.00406,             0.00406,             0.00406
                  14,            0.018904,            0.010799,              0.0359,              0.6011,                0.85,             0.78581,              0.7169,           0.0047813,           0.0024572,            0.009157,            0.003565,            0.003565,            0.003565
                  15,            0.018107,            0.010096,            0.034584,             0.65442,             0.89012,              0.7789,             0.73455,            0.004382,           0.0028423,           0.0091394,             0.00307,             0.00307,             0.00307
                  16,            0.017104,            0.010113,            0.033456,             0.66901,                0.89,             0.79712,             0.77284,           0.0044311,           0.0028398,            0.008712,            0.002575,            0.002575,            0.002575
                  17,             0.01494,           0.0096007,            0.033285,                0.68,                0.85,             0.82564,             0.79946,           0.0048119,           0.0027582,           0.0081287,             0.00208,             0.00208,             0.00208
                  18,            0.014693,           0.0096985,            0.030695,             0.73356,             0.87157,             0.84295,             0.76738,           0.0038472,           0.0027157,           0.0077253,            0.001585,            0.001585,            0.001585
                  19,            0.013789,           0.0094646,             0.03071,             0.72227,                0.95,             0.86814,             0.82425,           0.0033496,           0.0027477,            0.007256,             0.00109,             0.00109,             0.00109
